id,pai,x0,y0,z0,x1,y1,z1,raio,comprimento,fluxo,resistencia,volume
108,109,0.0225322,0.0278602,0,0.0292247,0.0327397,0,0.215443,0.00828253,8.33e-08,0.0352429,0.00120776
84,85,0.0163121,0.0307429,0,0.0207322,0.0349153,0,0.215443,0.00607835,8.33e-08,0.0258639,0.000886343
167,13,0.00588902,0.0423348,0,0.011519,0.0440907,0,0.310723,0.0058974,2.499e-07,0.00579974,0.00178878
101,167,0.011519,0.0440907,0,0.0243727,0.0422572,0,0.271442,0.0129839,1.666e-07,0.021925,0.00300543
12,101,0.0243727,0.0422572,0,0.0243727,0.0422572,0,0.215443,0,8.33e-08,0,0
100,101,0.0243727,0.0422572,0,0.0313484,0.0382393,0,0.215443,0.00805009,8.33e-08,0.0342539,0.00117386
166,167,0.011519,0.0440907,0,0.012333,0.0482395,0,0.215443,0.00422793,8.33e-08,0.0179902,0.000616516
172,173,0.00353341,0.0454009,0,-0.000616373,0.0401847,0,0.215443,0.00666555,8.33e-08,0.0283626,0.00097197
47,5,0,0.05,0,-0.00779446,0.0420116,0,0.76059,0.011161,3.6652e-06,0.000305734,0.0202841
91,47,-0.00779446,0.0420116,0,-0.00852828,0.0409359,0,0.748887,0.00130213,3.4986e-06,3.79516e-05,0.00229422
185,91,-0.00852828,0.0409359,0,-0.0131513,0.0341593,0,0.736806,0.0082034,3.332e-06,0.000255166,0.013991
15,185,-0.0131513,0.0341593,0,-0.0151326,0.031255,0,0.730614,0.00351574,3.2487e-06,0.000113112,0.00589581
27,15,-0.0151326,0.031255,0,-0.0158751,0.0242133,0,0.70473,0.00708073,2.9155e-06,0.000263166,0.0110477
69,27,-0.0158751,0.0242133,0,-0.0188287,0.0174897,0,0.67679,0.00734377,2.5823e-06,0.000320882,0.0105676
9,69,-0.0188287,0.0174897,0,-0.0207978,0.0130072,0,0.661911,0.00489584,2.4157e-06,0.000233815,0.0067387
63,9,-0.0207978,0.0130072,0,-0.0293322,0.00728311,0,0.430887,0.0102762,6.664e-07,0.0027329,0.00599392
29,63,-0.0293322,0.00728311,0,-0.0340152,0.00173913,0,0.391487,0.00725717,4.998e-07,0.00283231,0.00349423
39,29,-0.0340152,0.00173913,0,-0.0410358,5.8083e-05,0,0.341995,0.0072191,3.332e-07,0.00483777,0.00265261
51,39,-0.0410358,5.8083e-05,0,-0.0447471,0.00215634,0,0.271442,0.00426332,1.666e-07,0.00719919,0.00098685
4,51,-0.0447471,0.00215634,0,-0.0447471,0.00215634,0,0.215443,0,8.33e-08,0,0
50,51,-0.0447471,0.00215634,0,-0.0470283,0.00956631,0,0.215443,0.00775318,8.33e-08,0.0329905,0.00113057
187,39,-0.0410358,5.8083e-05,0,-0.0476547,-0.00750051,0,0.271442,0.010047,1.666e-07,0.0169657,0.00232562
38,187,-0.0476547,-0.00750051,0,-0.0476547,-0.00750051,0,0.215443,0,8.33e-08,0,0
186,187,-0.0476547,-0.00750051,0,-0.0475812,-0.011897,0,0.215443,0.00439711,8.33e-08,0.0187101,0.000641185
129,29,-0.0340152,0.00173913,0,-0.0358793,-0.00702487,0,0.271442,0.00896006,1.666e-07,0.0151303,0.00207403
28,129,-0.0358793,-0.00702487,0,-0.0358793,-0.00702487,0,0.215443,0,8.33e-08,0,0
128,129,-0.0358793,-0.00702487,0,-0.0437949,-0.0144711,0,0.215443,0.0108675,8.33e-08,0.0462423,0.0015847
159,63,-0.0293322,0.00728311,0,-0.0373149,0.00906883,0,0.271442,0.00817999,1.666e-07,0.013813,0.00189346
62,159,-0.0373149,0.00906883,0,-0.0400546,0.0121065,0,0.215443,0.00409064,8.33e-08,0.0174061,0.000596496
158,159,-0.0373149,0.00906883,0,-0.0416446,0.00680432,0,0.215443,0.0048862,8.33e-08,0.0207913,0.000712505
83,9,-0.0207978,0.0130072,0,-0.0194674,0.00492271,0,0.594392,0.00819326,1.7493e-06,0.000601738,0.00909396
179,83,-0.0194674,0.00492271,0,-0.0189718,0.00390937,0,0.57489,0.00112807,1.5827e-06,9.4676e-05,0.00117126
41,179,-0.0189718,0.00390937,0,-0.0178152,0.00154492,0,0.564622,0.00263216,1.4994e-06,0.000237424,0.00263619
25,41,-0.0178152,0.00154492,0,-0.0184342,-0.00659914,0,0.553966,0.00816755,1.4161e-06,0.000795065,0.00787422
11,25,-0.0184342,-0.00659914,0,-0.0184342,-0.00659914,0,0.519249,0,1.1662e-06,0,0
8,11,-0.0184342,-0.00659914,0,-0.0184342,-0.00659914,0,0.215443,0,8.33e-08,0,0
155,11,-0.0184342,-0.00659914,0,-0.0224159,-0.0109326,0,0.50658,0.00588498,1.0829e-06,0.000819213,0.0047445
127,155,-0.0224159,-0.0109326,0,-0.0234746,-0.0133806,0,0.493242,0.00266709,9.996e-07,0.000413084,0.00203849
19,127,-0.0234746,-0.0133806,0,-0.0280977,-0.0172798,0,0.464159,0.00604792,8.33e-07,0.00119449,0.00409345
191,19,-0.0280977,-0.0172798,0,-0.0279944,-0.0209269,0,0.44814,0.00364861,7.497e-07,0.000829303,0.002302
81,191,-0.0279944,-0.0209269,0,-0.0287653,-0.0250559,0,0.430887,0.00420034,6.664e-07,0.00111705,0.00244997
33,81,-0.0287653,-0.0250559,0,-0.0277398,-0.0280212,0,0.391487,0.00313759,4.998e-07,0.00122453,0.00151071
10,33,-0.0277398,-0.0280212,0,-0.0277398,-0.0280212,0,0.215443,0,8.33e-08,0,0
43,33,-0.0277398,-0.0280212,0,-0.0272491,-0.0327477,0,0.368403,0.00475191,4.165e-07,0.00236492,0.00202612
32,43,-0.0272491,-0.0327477,0,-0.0296804,-0.038647,0,0.215443,0.00638064,8.33e-08,0.0271502,0.000930423
157,43,-0.0272491,-0.0327477,0,-0.0236076,-0.0361903,0,0.341995,0.00501112,3.332e-07,0.00335813,0.0018413
117,157,-0.0236076,-0.0361903,0,-0.0199798,-0.0366217,0,0.310723,0.00365334,2.499e-07,0.00359284,0.00110812
165,117,-0.0199798,-0.0366217,0,-0.0170108,-0.043409,0,0.271442,0.0074083,1.666e-07,0.0125099,0.00171483
42,165,-0.0170108,-0.043409,0,-0.0170108,-0.043409,0,0.215443,0,8.33e-08,0,0
164,165,-0.0170108,-0.043409,0,-0.0146865,-0.046924,0,0.215443,0.00421397,8.33e-08,0.0179309,0.000614481
116,117,-0.0199798,-0.0366217,0,-0.0168059,-0.0362311,0,0.215443,0.00319789,8.33e-08,0.0136073,0.000466315
156,157,-0.0236076,-0.0361903,0,-0.0235803,-0.0422125,0,0.215443,0.0060223,8.33e-08,0.0256254,0.00087817
193,81,-0.0287653,-0.0250559,0,-0.0340017,-0.0268949,0,0.271442,0.00554996,1.666e-07,0.00937185,0.00128467
80,193,-0.0340017,-0.0268949,0,-0.0369209,-0.0305927,0,0.215443,0.00471126,8.33e-08,0.0200469,0.000686995
192,193,-0.0340017,-0.0268949,0,-0.0380644,-0.0256489,0,0.215443,0.00424949,8.33e-08,0.018082,0.00061966
190,191,-0.0279944,-0.0209269,0,-0.0243945,-0.0226467,0,0.215443,0.00398962,8.33e-08,0.0169762,0.000581766
18,19,-0.0280977,-0.0172798,0,-0.0413404,-0.0207793,0,0.215443,0.0136972,8.33e-08,0.058283,0.00199733
149,127,-0.0234746,-0.0133806,0,-0.0205201,-0.0210106,0,0.271442,0.00818201,1.666e-07,0.0138164,0.00189393
126,149,-0.0205201,-0.0210106,0,-0.0205201,-0.0210106,0,0.215443,0,8.33e-08,0,0
148,149,-0.0205201,-0.0210106,0,-0.020101,-0.0287755,0,0.215443,0.0077762,8.33e-08,0.0330885,0.00113392
154,155,-0.0224159,-0.0109326,0,-0.028009,-0.00924525,0,0.215443,0.00584208,8.33e-08,0.0248586,0.000851892
121,25,-0.0184342,-0.00659914,0,-0.0134024,-0.010874,0,0.310723,0.00660253,2.499e-07,0.00649319,0.00200266
45,121,-0.0134024,-0.010874,0,-0.0120881,-0.0153391,0,0.271442,0.00465452,1.666e-07,0.0078598,0.0010774
24,45,-0.0120881,-0.0153391,0,-0.00511192,-0.0174482,0,0.215443,0.00728805,8.33e-08,0.0310114,0.00106274
44,45,-0.0120881,-0.0153391,0,-0.0133484,-0.0286009,0,0.215443,0.0133216,8.33e-08,0.0566845,0.00194255
120,121,-0.0134024,-0.010874,0,-0.00596728,-0.0104934,0,0.215443,0.00744484,8.33e-08,0.0316785,0.0010856
40,41,-0.0178152,0.00154492,0,-0.00279007,-0.00358409,0,0.215443,0.0158765,8.33e-08,0.0675559,0.0023151
178,179,-0.0189718,0.00390937,0,-0.0128776,0.00499299,0,0.215443,0.00618976,8.33e-08,0.026338,0.00090259
97,83,-0.0194674,0.00492271,0,-0.0253897,0.000935837,0,0.271442,0.00713924,1.666e-07,0.0120556,0.00165255
82,97,-0.0253897,0.000935837,0,-0.0253897,0.000935837,0,0.215443,0,8.33e-08,0,0
96,97,-0.0253897,0.000935837,0,-0.0271251,-0.00449403,0,0.215443,0.00570044,8.33e-08,0.0242559,0.000831237
123,69,-0.0188287,0.0174897,0,-0.0300056,0.0185175,0,0.271442,0.011224,1.666e-07,0.0189532,0.00259807
68,123,-0.0300056,0.0185175,0,-0.0300056,0.0185175,0,0.215443,0,8.33e-08,0,0
122,123,-0.0300056,0.0185175,0,-0.0370388,0.0164026,0,0.215443,0.00734434,8.33e-08,0.0312508,0.00107095
133,27,-0.0158751,0.0242133,0,-0.0123359,0.0218662,0,0.341995,0.00424679,3.332e-07,0.00284592,0.00156045
113,133,-0.0123359,0.0218662,0,-0.00964443,0.0172789,0,0.310723,0.00531856,2.499e-07,0.00523048,0.00161321
67,113,-0.00964443,0.0172789,0,-0.00556208,0.0155813,0,0.271442,0.00442125,1.666e-07,0.00746588,0.00102341
26,67,-0.00556208,0.0155813,0,-0.00556208,0.0155813,0,0.215443,0,8.33e-08,0,0
66,67,-0.00556208,0.0155813,0,-0.00105038,0.00637995,0,0.215443,0.0102479,8.33e-08,0.0436059,0.00149435
112,113,-0.00964443,0.0172789,0,-0.0105043,0.0111213,0,0.215443,0.00621734,8.33e-08,0.0264554,0.000906612
132,133,-0.0123359,0.0218662,0,-0.00752499,0.0228792,0,0.215443,0.00491641,8.33e-08,0.0209198,0.000716911
175,15,-0.0151326,0.031255,0,-0.0225218,0.0308853,0,0.341995,0.00739838,3.332e-07,0.00495792,0.00271848
99,175,-0.0225218,0.0308853,0,-0.0275581,0.0319319,0,0.310723,0.00514395,2.499e-07,0.00505876,0.00156025
37,99,-0.0275581,0.0319319,0,-0.0332206,0.0291855,0,0.271442,0.00629329,1.666e-07,0.0106271,0.00145674
14,37,-0.0332206,0.0291855,0,-0.0340676,0.0302604,0,0.215443,0.00136846,8.33e-08,0.00582294,0.000199549
36,37,-0.0332206,0.0291855,0,-0.0445325,0.0185173,0,0.215443,0.015549,8.33e-08,0.0661624,0.00226735
98,99,-0.0275581,0.0319319,0,-0.0324337,0.0362705,0,0.215443,0.00652649,8.33e-08,0.0277708,0.000951692
174,175,-0.0225218,0.0308853,0,-0.0268966,0.0241735,0,0.215443,0.00801163,8.33e-08,0.0340902,0.00116825
184,185,-0.0131513,0.0341593,0,-0.00626138,0.0274827,0,0.215443,0.00959416,8.33e-08,0.040824,0.00139902
153,91,-0.00852828,0.0409359,0,-0.00366685,0.0345131,0,0.271442,0.00805517,1.666e-07,0.0136022,0.00186457
90,153,-0.00366685,0.0345131,0,-0.00366685,0.0345131,0,0.215443,0,8.33e-08,0,0
152,153,-0.00366685,0.0345131,0,-0.000831423,0.030354,0,0.215443,0.00503368,8.33e-08,0.0214188,0.00073401
73,47,-0.00779446,0.0420116,0,-0.0164439,0.0439966,0,0.271442,0.00887433,1.666e-07,0.0149855,0.00205418
46,73,-0.0164439,0.0439966,0,-0.0174141,0.0450959,0,0.215443,0.00146618,8.33e-08,0.00623873,0.000213798
72,73,-0.0164439,0.0439966,0,-0.0269516,0.0402718,0,0.215443,0.0111483,8.33e-08,0.0474373,0.00162565
